Content,Date,User
"Eres un inepto presidente, llevas 19% negativo el PIB y prometiste crecer al 6% y llevas mas de 100 mil muertos por covid",28 ago.,@GusEspejel
¿En qué cantina anduvo el presidentito @lopezobrador_ el día de hoy?,30 ago.,@MuertosDelPeje
"Eres empresario de la corrupción López y narco presidente.
#lopezCORRUPTO
#LOPEZcriminalconfeso",29 ago.,@RTizador
"Lastima de inepto presidente, para tan bonito país q es México.",29 ago.,@NayeNoguera
"Las pensiones, prestamos y becas salen de los que, con mucho esfuerzo, pagamos nuestros impuestos a pedar de su desastre! Usted lo único que hace es repartir o despilfarrar a conveniencia y de forma procelitista. De nada!!!",29 ago.,@CallFifi
"Por fin tienes razón en algo: NO ES PARA PRESUMIR.

Las remesas no son logros, las dádivas ayudan de manera efímera y no producen riqueza de vuelta, efectivamente no tienes nada que presumir.
Por cierto, los fríos números dicen que tu gobierno es el peor en el peor momento.",28 ago.,@OsvaldoLuciotto
"Jajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajaja. 
Palabras más palabras menos los que están “salvando” a México son los paisanos que viven en EUA. NO TÚ, para variar @lopezobrador_ no dejarás de ser un vividor acomplejado.",28 ago.,@isco9981
La grandeza de mexico y su presidente.,28 ago.,@forozcolg
"Una vez más, las remesas NO, repito NO son un logro de gobierno, la crisis económica si es un logro tuyo, sin dudas y el mal manejo de la crisis sanitaria.... es compartido entre tú y @HLGatoell .... el mejor gobierno fue el de Don @FelipeCalderon ... por su atención gracias",28 ago.,@DiabloMayor14
Dos crisis AUTOINFLIGIDAS por el CuatroTe,28 ago.,@MauricioLlergo
"Efectivamente, el pueblo Mexicano es mucha pieza y tú no estás, ni estarás a la altura.

Deja de mentir , estas llevando al país a situaciones extremas, nunca antes vistas, deja de atacar a todo el mundo y ser clasista.

NO SIRVES COMO PRESIDENTE
NO TE RECONOCEMOS
ERES CORRUPTO",28 ago.,@jequesa
"Sr Lopez, vivimos otra crisis peor que la sanitaria y económica, que es el origen de las que usted comenta.
Esa crisis se llama 4T que es el nombre de su gobierno. 
La única transformación que ha generado su gobierno es la principal crisis del país en la historia de México",28 ago.,@PEPEGOAL
"México enfrenta la peor crísis de su historia, causada por pseudopresidente demente, corrupto e inepto, que al frente de una secta tienen como único objetivo saquear y destruir al país.",28 ago.,@Batman6210
"tienes razón somos mucha pieza, no merecemos a un P3NDEJO, CORRUPTO Y CÍNICO COMO TÚ !!!!!!!",28 ago.,@drakulyadmt
"Sigues tomando como un logro histórico el envío de remesas.
3 pesos de madre.
 gastas dinero de nuestros impuestos a diario con las mañaneras cirqueras, no se necesita un informe.",28 ago.,@Alranda_G1
"México está enfrentando las dos peores crisis en la historia:

1. Andrés Manuel  López Obrador.
2. Gobierno de Morena.",28 ago.,@aracelibs
"No es así señor presidente.
Este gobierno hundió al país en la violencia al pactar con el Cartel Jalisco Nueva generación y Cartel de Sinaloa.
Este es ahora más que nunca, un narco estado en el que la ley está para satisfacer la agenda pública presidencial.",28 ago.,@cosgaya_emilio
"Todo un éxito tu gestión, nada más hay 26 millones de personas sin empleo.

Mejor ya cállate el hocico López.",29 ago.,@OmarIva71061938
"Todo mi apoyo para usted querido presidente.
Ayer hoy, mañana y siempre 
#EsUnHonorEstarConObrador",29 ago.,@ClaoCarlet
"@lopezobrador_  eres un farsante por lo menos ponte traje y corbata aunque eso a ti no te va, el país está en ruinas por tu culpa y el imbecil de @HLGatell  todos los de tu gabinete son unos ineptos! #ElPeorPresidenteDeLaHistoria #EsUnHorrorEstarConObrador",29 ago.,@KalEl7612
Chamarras estilo Fidel... el giro  retro está de moda entre los dictadores bananeros👌,29 ago.,@panzas_sr
"Buen desempeño de la Senadora Mónica Fernández, ¡Felicidades! 

De la Diputada Rojas, sin comentarios.",29 ago.,@resulta_ahora
México es mucho para el presidente tan pequeño y mediocre que tiene,29 ago.,@NoniLoGo
"Por supuesto somos mucha pieza. Las crisis las provocantes tu, con tu ignorancia, corrupción, necedad y caprichos. La peor crisis es este desgobierno de charlatanes, ladrones y asesinos.
Pagaras cada vida terminada, cada familia destruida, cada niño muerto.
#LopezEresUnMiserable",28 ago.,@renebmex
"Entienda que las remesas NO SON LOGRO DE SU GOBIERNO porque es dinero que viene del extranjero!! 🙄 Cambie el discurso. La crisis sanitaria con las de 61 mil muertos, la crisis con económica con desempleo y una caída del PIB q no se había visto el décadas. Se necesitan resultados",28 ago.,@SusanaV61
"¿Pues no decías que no había crisis? Porque el PIB no refleja la verdadera realidad del pueblo y ahora ya hay más bienestar.

Mientes tanto que ya no te acuerdas lo que dices. Corrupto.

Las remesas son un logro de EE. UU. Porque su economía neoliberal sigue funcionando bien.",28 ago.,@Quetzal0518
Las crisis sanitaria y económica son insignificantes comparadas con la crisis de gobierno que sufre México.,28 ago.,@MexMejor
"MENTIROSO, ERES EL MÁS CORRUPTO DE TODOS, EL PEOR!!!",28 ago.,@salzaga
Usted! Si Usted adopta la MENTIRA como un hábito de conducta con el pretexto de ocultar su ineptitud.  NO habla con verdad irremediablemente es de todos los dias. Es un enfermo 🇲🇽 ya lo reconoce como EL MITOMANO del palacio. Promocionales fuera de la realidad,28 ago.,@DergalMaite
